,firstName,lastName,age,sex,Vehicle_Make,Vehicle_Model,Vehicle_Year,Vehicle_Type,iban,credit_card_number,credit_card_security_code,credit_card_start_date,credit_card_end_date,address_main,address_city,address_postcode,debt,retired,dependants,marital_status,salary,pension,company,commute_distance,sn
0,Oliver,Brady,68,Male,Mitsubishi,WRX,2003,Sedan,GB22ZLAW73114167985782,5141290311954834,946,11/20,01/30,Studio 15 Donna lights,Stuarthaven,EC3R 6QB,"{'amount': '17403.80', 'time_period_years': 2}",False,2.0,single,62743,0,Myers-Smith,15.18,SN1
1,Denis,Jackson,35,Male,Toyota,Canyon Regular Cab,2011,Convertible,GB34XERJ15638486218742,2246218069251294,666,07/16,10/30,Studio 38r Gordon wells,Cunninghamfort,SW54 8ZR,0,False,3.0,married or civil partner,82669,0,Smith-Stewart,18.16,SN2
2,Joshua,Williams,26,Male,Honda,1500 Crew Cab,1999,Sedan,GB76FFNA64547647754971,4017034567048676352,133,05/18,06/20,173 Jones meadow,Hallstad,S97 8RB,0,False,2.168711656441718,single,27951,0,Knowles-Willis,8.47,SN3
3,Malcolm,Johnson,37,Male,Dodge,Legacy,1996,"Sedan, Wagon",GB46ZLCD77668687243311,4603290222882884096,241,06/17,04/21,Flat 92 Dale courts,North Dominic,ME80 4BN,0,False,5.0,married or civil partner,37670,0,Baker Ltd,10.64,SN4
4,Ashley,Bates,57,Male,Chevrolet,A8,2018,Sedan,GB62OYNA11401233406947,2405870932540001,271,08/16,03/31,0 Josephine mountain,Aimeeberg,NN3 1BS,0,False,1.0,single,19783,0,Read-Smith,6.33,SN5
5,Debra,Wood,61,Female,Nissan,E350 Super Duty Passenger,2002,Pickup,GB11KTXC25765883625570,6011585714156746,592,01/15,06/27,Studio 32 Albert street,New Lauren,NE16 5FA,0,False,1.0,married or civil partner,71956,0,Todd-Taylor,16.61,SN6
6,Chloe,Cook,38,Female,Oldsmobile,Canyon Crew Cab,2006,Coupe,GB54BBGM01013004103937,4549956122685,125,01/15,01/18,Flat 44o Jemma streets,Bakerbury,M8D 9AH,0,False,5.0,divorced,53634,0,Matthews and Sons,13.66,SN7
7,Andrea,Warren,18,Female,Nissan,Sprinter WORKER Cargo,1992,SUV,GB60KIVC20342612177775,3563730500316877,4108,12/17,12/25,008 Ross divide,Kingchester,B21 7WZ,0,False,2.0,divorced,36491,0,"Taylor, Holt and Mitchell",10.39,SN8
8,Peter,Roberts,88,Male,Ford,600 SL,2008,Hatchback,GB32CXLH25412077300860,3553869705478397,665,04/15,12/24,00 Emily place,Nicholasbury,IV81 0RS,0,True,1.0,widowed,74514,31506,None,0.0,SN9
9,Thomas,Phillips,64,Male,Chevrolet,B-Series Cab Plus,1997,SUV,GB12LCGV08466025718451,30494473080348,3673,10/17,11/27,Studio 08 Collins rue,New Alan,E3J 6YW,0,False,2.0,married or civil partner,60651,0,"Robinson, Hussain and Robson",14.84,SN10
